Category: All categories

Month,Diet: (Worldwide)
2004-01,100
2004-02,76
2004-03,76
2004-04,78
2004-05,81
2004-06,71
2004-07,70
2004-08,66
2004-09,65
2004-10,59
2004-11,57
2004-12,49
2005-01,71
2005-02,65
2005-03,67
2005-04,66
2005-05,71
2005-06,64
2005-07,61
2005-08,61
2005-09,56
2005-10,56
2005-11,54
2005-12,45
2006-01,74
2006-02,61
2006-03,63
2006-04,60
2006-05,64
2006-06,59
2006-07,57
2006-08,58
2006-09,54
2006-10,52
2006-11,51
2006-12,44
2007-01,66
2007-02,60
2007-03,61
2007-04,62
2007-05,60
2007-06,56
2007-07,56
2007-08,55
2007-09,53
2007-10,53
2007-11,50
2007-12,41
2008-01,65
2008-02,58
2008-03,57
2008-04,60
2008-05,57
2008-06,54
2008-07,54
2008-08,55
2008-09,50
2008-10,52
2008-11,50
2008-12,43
2009-01,64
2009-02,58
2009-03,61
2009-04,61
2009-05,61
2009-06,56
2009-07,57
2009-08,57
2009-09,53
2009-10,53
2009-11,54
2009-12,45
2010-01,69
2010-02,64
2010-03,63
2010-04,66
2010-05,63
2010-06,59
2010-07,56
2010-08,58
2010-09,55
2010-10,53
2010-11,54
2010-12,44
2011-01,72
2011-02,65
2011-03,66
2011-04,67
2011-05,67
2011-06,63
2011-07,59
2011-08,59
2011-09,57
2011-10,57
2011-11,57
2011-12,48
2012-01,72
2012-02,66
2012-03,68
2012-04,68
2012-05,65
2012-06,62
2012-07,62
2012-08,60
2012-09,60
2012-10,56
2012-11,53
2012-12,47
2013-01,73
2013-02,66
2013-03,66
2013-04,69
2013-05,64
2013-06,62
2013-07,63
2013-08,62
2013-09,59
2013-10,60
2013-11,58
2013-12,49
2014-01,73
2014-02,67
2014-03,70
2014-04,67
2014-05,65
2014-06,61
2014-07,58
2014-08,59
2014-09,58
2014-10,55
2014-11,55
2014-12,48
2015-01,69
2015-02,63
2015-03,65
2015-04,64
2015-05,62
2015-06,61
2015-07,57
2015-08,60
2015-09,58
2015-10,54
2015-11,54
2015-12,47
2016-01,67
2016-02,62
2016-03,61
2016-04,62
2016-05,62
2016-06,54
2016-07,54
2016-08,55
2016-09,53
2016-10,51
2016-11,50
2016-12,44
2017-01,63
2017-02,61
2017-03,61
2017-04,58
2017-05,59
2017-06,55
2017-07,59
2017-08,56
2017-09,51
2017-10,52
2017-11,50
2017-12,45
2018-01,68
2018-02,62
2018-03,59
2018-04,62
2018-05,61
2018-06,56
2018-07,60
2018-08,55
2018-09,54
2018-10,51
2018-11,51
2018-12,47
2019-01,68
2019-02,60
2019-03,61
2019-04,59
2019-05,54
2019-06,53
2019-07,54
2019-08,52
2019-09,52
2019-10,49
2019-11,51
2019-12,43
2020-01,63
2020-02,56
2020-03,41
2020-04,47
2020-05,55
2020-06,55
2020-07,51
2020-08,48
2020-09,49
2020-10,45
2020-11,41
2020-12,38
2021-01,53
2021-02,52
